problem_id,source,competition,year,country,domain,subtopic,difficulty,difficulty_source,concepts,prerequisites,solution_depth,estimated_time_minutes,proof_required,reasoning_intensity,calculation_intensity,major_steps,problem_type,language,data_type,problem_text,final_answer,solution_length,solution_words,solution_paragraphs,equation_count,reasoning_indicators,proof_indicators,case_analysis,calculation_indicators,solution_major_steps
MATHNET-041i,MathNet,China Mathematical Competition (Complementary Test),,China,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization,,unknown,Sequences and Series > Recurrence relations | Sequences and Series > Sums and products | Factorization techniques,,,,True,,,,proof only,English,real,"Given positive integers $u, v$, the sequence $\{a_n\}$ is defined as: $a_1 = u + v$, and for $m \ge 1$,
$$
\begin{cases} a_{2m} = a_m + u, \\ a_{2m+1} = a_m + v. \end{cases}
$$

Denote $S_m = a_1 + a_2 + \dots + a_m$ ($m = 1, 2, \dots$). Prove that there are infinite terms in sequence $\{S_n\}$ that are square numbers.",,1141,220,1,18,1,2,0,0,1
MATHNET-04yy,MathNet,Estonija 2010,,Estonia,Number Theory,Divisibility / Factorization,,unknown,Greatest common divisors (gcd) | Factorization techniques,,,,True,,,,proof only,,real,"Let $x$, $y$ and $z$ be positive integers satisfying $\text{gcd}(x, y, z) = 1$. Prove that if $(y^2 - x^2) - (z^2 - y^2) = ((y - x) - (z - y))^2$, then $x$ and $z$ are perfect squares.",,622,133,1,24,4,0,1,0,1
MATHNET-0bxl,MathNet,THE 68th NMO SELECTION TESTS FOR THE JUNIOR BALKAN MATHEMATICAL OLYMPIAD,,Romania,Geometry,Plane Geometry,,unknown,Circles > Tangents | Circles > Radical axis theorem | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,,,,True,,,,proof only,English,real,"Let $A$ be a point outside the circle $\mathcal{C}$. The tangents from $A$ touch the circle at $B$ and $C$. Let $P$ be an arbitrary point on $AC$ produced, $Q$ the projection of $C$ onto $PB$ and $E$ the second intersection point of the circumcircle of $ABP$ with the circle $\mathcal{C}$. Prove that $\angle PEQ = 2\angle APB$.

Cuban Olympiad, 2003",,689,127,4,15,3,0,0,0,4
MATHNET-0ihr,MathNet,Harvard-MIT Mathematics Tournament,,United States,Discrete Mathematics,Combinatorics,,unknown,Inclusion-exclusion,,,,True,,,,proof and answer,,real,"Problem:

Vernonia High School has 85 seniors, each of whom plays on at least one of the school's three varsity sports teams: football, baseball, and lacrosse. It so happens that 74 are on the football team; 26 are on the baseball team; 17 are on both the football and lacrosse teams; 18 are on both the baseball and football teams; and 13 are on both the baseball and lacrosse teams. Compute the number of seniors playing all three sports, given that twice this number are members of the lacrosse team.",11,255,60,2,5,0,1,0,0,2
MATHNET-07n6,MathNet,Ireland,,Ireland,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,,unknown,"Recursion, bijection | Sequences and Series > Recurrence relations | Induction / smoothing | Games / greedy algorithms",,,,True,,,,proof only,English,real,"$n \ge 3$ people seated at a round table play a game as follows. Initially each player is dealt a green or orange card. Game play then takes place in a series of rounds. In each round,
(i) Each player notes the colours of the cards held by the two players to his/her immediate right. If these are different, the player raises his/her hand.
(ii) Each player with a raised hand replaces his/her card with one of the opposite colour.
The game ends when each player holds the same colour as he/she did initially. A value of $n$ is called *playable* if game play *must* end after a finite number of rounds, regardless of the initial cards dealt to the players.
(a) Prove that there are infinitely many values of $n$ which are *playable*.
(b) Prove that there are infinitely many values of $n$ which are *not* *playable*.",,2060,345,2,37,4,0,3,0,2
MATHNET-09i8,MathNet,Mongolian Mathematical Olympiad Round 1,,Mongolia,Algebra | Number Theory,Diophantine Equations | Prealgebra / Basic Algebra,,unknown,"Simple Equations | Techniques: modulo, size analysis, order analysis, inequalities",,,,False,,,,final answer only,,real,"There is a country, where the price of every fruit is an integer prime. Here 6 melons, 5 oranges, 5 apples and 3 pineapples cost 130 coins. Also, 3 melons, 3 oranges, 5 apples and 6 pineapples cost 130 coins. What is the price of each fruit?","Melon = 11, Orange = 3, Apple = 2, Pineapple = 13",0,0,0,0,0,0,0,0,0
MATHNET-07gp,MathNet,38th Iranian Mathematical Olympiad,,Iran,Algebra | Geometry,Equations and Inequalities | Plane Geometry,,unknown,Circles > Tangents | Circles > Radical axis theorem | Transformations > Rotation | QM-AM-GM-HM / Power Mean,,,,True,,,,proof only,,real,"Given circles $\omega_1$ and $\omega_2$ with two intersection points $A$ and $B$. Points $X$ on $\omega_1$ and $Y$ on $\omega_2$ are chosen such that $XY$ is tangent to both circles and $XY$ is closer to $B$ than $A$. If $C$ and $D$ are the reflections of $X$ and $Y$ with respect to $B$, prove that $\angle CAD < 90^\circ$.",,716,145,3,22,2,1,0,0,3
MATHNET-0apw,MathNet,Tenth Philippine Mathematical Olympiad,,Philippines,Algebra,Algebraic Expressions,,unknown,Sequences and Series,,,,False,,,,final answer only,,real,"Problem:

In an arithmetic sequence, the third, fifth and eleventh terms are distinct and form a geometric sequence. If the fourth term of the arithmetic sequence is $6$, what is its $2007$th term?",6015,547,90,2,14,2,0,0,0,2
MATHNET-0csu,MathNet,XL Russian mathematical olympiad,,Russia,Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization | Modular Arithmetic,,unknown,Games / greedy algorithms,,,,True,,,,proof and answer,,real,"Pete and Bazil have a deck of $4026$ cards, $2013$ of which contain a digit $1$, while $2013$ others contain a digit $2$. Initially, Bazil uses all these cards to make a $4026$-digit number. After that, Pete makes several moves, each consisting in switching two cards and paying $1$ rouble to Bazil. The process stops when the resulting $4026$-digit number is divisible by $11$. Find the maximal amount of roubles Bazil may guarantee to receive by a suitable choice of the initial number. (P. Kozhevnikov)",5,2105,379,4,65,0,0,0,0,4
MATHNET-0em4,MathNet,South-Afrika 2011-2013,,South Africa,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,,unknown,"Recursion, bijection | Counting two ways | Sequences and Series > Sums and products",,,,False,,,,final answer only,,real,"A little boy Mak has drawn a rectangle of size $20 \times 15$, and divided it by straight lines into unit squares. How many squares (of any size) are there in Mak's picture?",1840,597,105,1,8,1,0,0,0,1
MATHNET-0847,MathNet,UNIONE MATEMATICA ITALIANA Progetto Olimpiadi di Matematica 2004 - GARA di SECONDO LIVELLO TRIENNIO,,Italy,Discrete Mathematics | Number Theory,Combinatorics | Modular Arithmetic,,unknown,Pigeonhole principle,,,,False,,,,MCQ,,real,"Problem:

Determinare il più piccolo intero $n$ con la seguente proprietà: dati comunque $n$ interi $a_{1}, \ldots, a_{n}$, ne esistono due distinti tali che la loro somma o la loro differenza è divisibile per $9$.

(A) 3
(B) 4
(C) 5
(D) 6
(E) 7.",D,0,0,0,0,0,0,0,0,0
MATHNET-01uc,MathNet,Belarusian Mathematical Olympiad,,Belarus,Algebra,Equations and Inequalities,,unknown,QM-AM-GM-HM / Power Mean,,,,True,,,,proof only,English,real,"Prove that
$$
\frac{xyzt}{(x+y)(z+t)} \le \frac{(x+z)^2(y+t)^2}{4(x+y+z+t)^2}
$$
for all positive numbers $x$, $y$, $z$, $t$.",,1465,165,1,30,2,0,0,0,1
MATHNET-0hfw,MathNet,"62nd Ukrainian National Mathematical Olympiad, Third Round, Second Tour",,Ukraine,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",,,,True,,,,proof only,English,real,On the sides $AB$ and $BC$ of the square $ABCD$ we marked points $K$ and $L$ correspondingly so that $KB = LC$. Segments $AL$ and $CK$ intersect at point $P$. Prove that lines $DP$ and $KL$ are perpendicular.,,397,73,2,12,1,0,0,0,2
MATHNET-0fhq,MathNet,OME 29,,Spain,Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization,,unknown,Greatest common divisors (gcd) | Pigeonhole principle,,,,True,,,,proof only,,real,"Problem:
Demostrar que todo número primo $p$ distinto de 2 y de 5 tiene infinitos múltiplos escritos sólo con unos (es decir, de la forma 111...1).",,991,150,2,22,0,0,0,0,2
MATHNET-003m,MathNet,XV Olimpiada Matemática Rioplatense,,Argentina,Algebra | Discrete Mathematics,Combinatorics | Equations and Inequalities,,unknown,"Coloring schemes, extremal arguments | Combinatorial optimization",,,,True,,,,proof and answer,Español,real,"Se han elegido varios segmentos en una recta (con posibles superposiciones). Si a cada segmento se le colorea de azul sus dos terceras partes de la izquierda, el conjunto de los puntos azules es un segmento de longitud $31$. Si a cada segmento se le colorea de rojo sus dos terceras partes de la derecha, el conjunto de los puntos rojos es un segmento de longitud $23$. Sean $M$ y $m$ la máxima y la mínima longitud de un segmento de la colección, respectivamente.
¿Cuál es el valor mínimo que puede tener $M - m$?",24,0,0,0,0,0,0,0,0,0
MATHNET-0bd7,MathNet,64th NMO Selection Tests for the Balkan and International Mathematical Olympiads,,Romania,Algebra | Discrete Mathematics | Number Theory,Algebraic Expressions | Combinatorics | Intermediate Algebra | Modular Arithmetic,,unknown,Polynomials > Roots of unity | Polynomials mod p | Algebraic properties of binomial coefficients | Complex numbers | Polynomials > Polynomial operations,,,,True,,,,proof only,,real,"Given an integer $n \ge 2$, let $a_n$, $b_n$, $c_n$ be integer numbers such that $(\sqrt[3]{2}-1)^n = a_n + b_n\sqrt[3]{2} + c_n\sqrt[3]{4}$. Show that $c_n \equiv 1 \pmod{3}$ if and only if $n \equiv 2 \pmod{3}$.",,1415,210,3,35,2,0,4,0,3
MATHNET-08ek,MathNet,"Italian Mathematical Olympiad, February Round",,Italy,Algebra,Algebraic Expressions,,unknown,Sequences and Series > Recurrence relations | Sequences and Series > Floors and ceilings,,,,True,,,,proof only,,real,"Problem:

Ambra costruisce una sequenza di numeri, a partire da numero reale positivo $x_{0}$, nel seguente modo: dato l'$n$-esimo termine $x_{n}$, il termine successivo è $x_{n+1} = \{1 - \frac{1}{x_{n}}\}$, dove $\{\alpha\}$ rappresenta la parte frazionaria di $\alpha$, cioè la differenza fra $\alpha$ e il massimo numero intero minore o uguale di $\alpha$. Non appena Ambra ottiene un termine uguale a $0$, interrompe la sequenza.

a. Dimostrare che se il numero di partenza $x_{0}$ è della forma $\frac{p}{q}$, dove $p$ e $q$ sono interi positivi, prima o poi la sequenza si interrompe.

b. Dimostrare che, se la sequenza si interrompe, allora il punto di partenza $x_{0}$ era della forma $\frac{p}{q}$, dove $p$ e $q$ sono interi positivi.",,2624,408,5,48,0,0,0,0,5
MATHNET-06tf,MathNet,56th International Mathematical Olympiad Shortlisted Problems,,IMO,Discrete Mathematics | Number Theory,Combinatorics | Other,,unknown,Counting two ways,,,,True,,,,proof only,English,real,"Let $S$ be a nonempty set of positive integers. We say that a positive integer $n$ is clean if it has a unique representation as a sum of an odd number of distinct elements from $S$. Prove that there exist infinitely many positive integers that are not clean.
(U.S.A.)",,11076,1938,35,216,31,23,4,6,20
MATHNET-0d7d,MathNet,SAUDI ARABIAN MATHEMATICAL COMPETITIONS,,Saudi Arabia,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization,,unknown,Polynomials > Polynomial operations,,,,True,,,,proof and answer,English,real,"Find all integers $n$ such that there exists a polynomial $P(x)$ with integer coefficients satisfying
$$
P\left(\sqrt[3]{n^{2}}+\sqrt[3]{n}\right)=2016 n+20 \sqrt[3]{n^{2}}+16 \sqrt[3]{n} .
$$","n ∈ {5, 3, 2, 0, -1, -3}",358,51,1,4,0,1,0,0,1
MATHNET-020b,MathNet,Benelux Mathematical Olympiad,,Benelux Mathematical Olympiad,Number Theory,Divisibility / Factorization,,unknown,Prime numbers | Factorization techniques,,,,True,,,,proof and answer,,real,"Problem:
Find all positive integers $n>1$ with the following property:
for each two positive divisors $k, \ell<n$ of $n$, at least one of the numbers $2 k-\ell$ and $2 \ell-k$ is a (not necessarily positive) divisor of $n$ as well.","All prime numbers, and 6, 9, 15",1952,358,2,74,11,2,9,0,2
MATHNET-0fti,MathNet,IMO Selektion,,Switzerland,Geometry,Plane Geometry,,unknown,Transformations > Rotation | Miscellaneous > Constructions and loci,,,,True,,,,proof only,,real,"Problem:

Sei $ABC$ ein gleichseitiges Dreieck und $P$ ein Punkt in dessen Innern. $X$, $Y$ und $Z$ seien die Fusspunkte der Lote von $P$ auf die Seiten $BC$, $CA$ und $AB$. Zeige, dass die Summe der Flächen der Dreiecke $BXP$, $CYP$ und $AZP$ nicht von $P$ abhängt.",,432,64,2,7,0,0,0,0,2
MATHNET-04p0,MathNet,Croatian Mathematical Society Competitions,,Croatia,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,,unknown,Sequences and Series > Floors and ceilings | Polynomials > Polynomial operations | Integers,,,,True,,,,proof and answer,English,real,"Find all real numbers $x$ such that
$$
\left\lfloor \frac{x^2 + 1}{x + 2} \right\rfloor + \left\lfloor \frac{x - 1}{2} \right\rfloor = \frac{x(3x + 1)}{2(x + 2)}
$$
For a real number $t$, $\lfloor t \rfloor$ denotes the largest integer not greater than $t$. For example, if $t = 3.14$, then $\lfloor t \rfloor = 3$.","x ∈ { -7, -3, -1, 3 }",522,112,1,12,2,2,4,0,1
MATHNET-0fw2,MathNet,Vorrundenprüfung,,Switzerland,Discrete Mathematics | Geometry,Combinatorics | Solid Geometry,,unknown,"Coloring schemes, extremal arguments | 3D Shapes",,,,True,,,,proof only,,real,"Problem:

Betrachte einen Würfel mit Kantenlänge $2a$. In jedem Eckpunkt, jedem Kantenmittelpunkt und jedem Flächenmittelpunkt befindet sich eine Stadt. Zwei Städte sind durch eine Strasse miteinander verbunden, falls ihr Abstand $a$ beträgt. Gibt es eine Reiseroute, die durch jede Stadt genau einmal führt?",,504,80,2,0,0,0,0,0,2
MATHNET-0a7l,MathNet,"Nordic Mathematical Contest, NMC 7",,Nordic Mathematical Olympiad,Geometry,Plane Geometry,,unknown,Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing,,,,True,,,,proof and answer,,real,"Problem:
A hexagon is inscribed in a circle of radius $r$. Two of the sides of the hexagon have length $1$, two have length $2$ and two have length $3$. Show that $r$ satisfies the equation
$$
2 r^{3} - 7 r - 3 = 0
$$",2 r^3 - 7 r - 3 = 0,1236,222,1,32,1,0,0,0,1
MATHNET-0ko4,MathNet,HMMT February 2022,,United States,Algebra,Intermediate Algebra | Prealgebra / Basic Algebra,,unknown,Quadratic functions | Integers,,,,True,,,,proof and answer,,real,"Problem:

Positive integers $a$, $b$, and $c$ are all powers of $k$ for some positive integer $k$. It is known that the equation $a x^{2} - b x + c = 0$ has exactly one real solution $r$, and this value $r$ is less than $100$. Compute the maximum possible value of $r$.

Proposed by: Akash Das",64,315,68,2,11,1,0,0,0,2
MATHNET-0irf,MathNet,Berkeley Math Circle Monthly Contest 2,,United States,Algebra,Intermediate Algebra,,unknown,Exponential functions,,,,True,,,,proof and answer,,real,"Problem:

Let $a$, $b$, and $c$ be positive real numbers satisfying $a^{b} > b^{a}$ and $b^{c} > c^{b}$. Does it follow that $a^{c} > c^{a}$?",Yes,236,27,2,3,0,0,0,0,2
MATHNET-0e08,MathNet,National Math Olympiad,,Slovenia,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,,unknown,Sequences and Series > Sums and products | Simple Equations,,,,True,,,,proof and answer,,real,"Let $(a_n)$ be a non-constant arithmetic sequence with the initial term $a_1 = 1$. The terms $a_2$, $a_5$, $a_{11}$ form a geometric sequence. Find the sum of the first 2009 terms of the sequence $(a_n)$.",1010527,383,78,1,12,1,0,0,1,1
MATHNET-0fxg,MathNet,Vorrundenprüfung,,Switzerland,Discrete Mathematics,Combinatorics,,unknown,"Recursion, bijection | Counting two ways",,,,True,,,,proof and answer,,real,"Problem:

Betrachte $n$ Kinder, von denen keine zwei gleich gross sind. Wie viele Möglichkeiten gibt es, diese Kinder in eine Reihe zu stellen, sodass jedes Kind ausser dem grössten einen Nachbarn besitzt, der grösser ist als es.",2^{n-1},933,141,4,8,0,0,0,0,4
MATHNET-01bf,MathNet,Baltic Way,,Baltic Way,Discrete Mathematics,Combinatorics,,unknown,Games / greedy algorithms,,,,True,,,,proof and answer,,real,Two players play a game on an $N \times N$ board. The players alternately mark a cell in such a way that there is never a diagonal on the board containing two marked cells. For which $N > 0$ does the starting player have a winning strategy?,All odd positive integers N,1201,236,4,34,2,2,7,0,4
MATHNET-06ct,MathNet,CHKMO,,Hong Kong,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing",,,,True,,,,proof and answer,,real,"Let $O$ be the circumcentre of $\triangle ABC$. Suppose $AB > AC > BC$. Let $D$ be a point on the minor arc $BC$ such that $AD$ is not a diameter of the circumcircle of $\triangle ABC$. Let $E$ and $F$ be points on $AD$ such that $AB \perp OE$ and $AC \perp OF$. Let $P$ be the intersection of $BE$ and $CF$. If $PB = PC + PO$, then prove that $\angle BAC = 30^\circ$.",30°,649,127,1,19,4,0,0,0,1
MATHNET-0jfo,MathNet,HMMT,,United States,Discrete Mathematics,Combinatorics,,unknown,Games / greedy algorithms,,,,True,,,,proof and answer,,real,"Problem:

On a game show, Merble will be presented with a series of 2013 marbles, each of which is either red or blue on the outside. Each time he sees a marble, he can either keep it or pass, but cannot return to a previous marble; he receives 3 points for keeping a red marble, loses 2 points for keeping a blue marble, and gains 0 points for passing. All distributions of colors are equally likely and Merble can only see the color of his current marble. If his goal is to end with exactly one point and he plays optimally, what is the probability that he fails?",1/2^2012,468,78,3,2,2,0,1,0,3
MATHNET-0041,MathNet,Argentina 2006,,Argentina,Geometry,Plane Geometry,,unknown,"Circles > Tangents | Advanced Configurations > Polar triangles, harmonic conjugates",,,,True,,,,proof and answer,Español,real,"Sean $AM$ y $AN$ las rectas tangentes a una circunferencia $\Gamma$ trazadas desde un punto $A$ ($M$ y $N$ pertenecen a la circunferencia). Una recta por $A$ corta a $\Gamma$ en $B$ y $C$ con $B$ entre $A$ y $C$, y $\frac{AB}{BC} = \frac{2}{3}$.
Si $P$ es el punto de intersección de $AB$ y $MN$, calcular $\frac{AP}{PC}$.",4/3,0,0,0,0,0,0,0,0,0
MATHNET-0f6k,MathNet,19th ASU,,Soviet Union,Algebra | Number Theory,Equations and Inequalities | Other | Prealgebra / Basic Algebra,,unknown,Cauchy-Schwarz | Integers,,,,True,,,,proof only,,real,"Problem:

Is there an integer $n$ such that the sum of the (decimal) digits of $n$ is $1000$ and the sum of the squares of the digits is $1000^2$?",,0,0,0,0,0,0,0,0,0
MATHNET-0eak,MathNet,National Math Olympiad in Slovenia,,Slovenia,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,,unknown,"Combinatorial Geometry > Convex hulls | Pigeonhole principle | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"Consider a regular $n$-gon where $n > 1$ is an odd integer. At most how many vertices can be coloured red so that the centre of the $n$-gon does not lie inside a polygon, determined by the red vertices?",(n+1)/2,1447,256,3,32,1,3,2,0,3
MATHNET-0bw4,MathNet,SHORTLISTED PROBLEMS FOR THE 68th NMO,,Romania,Algebra,Equations and Inequalities,,unknown,Jensen / smoothing | QM-AM-GM-HM / Power Mean | Linear and quadratic inequalities,,,,True,,,,proof only,English,real,"If $a$, $b$, $c$ are positive real numbers such that $a^2 + b^2 + c^2 = 1$, show that
$$
\frac{bc}{2 - a^2} + \frac{ca}{2 - b^2} + \frac{ab}{2 - c^2} \le \frac{3}{5}.
$$",,0,0,0,0,0,0,0,0,0
MATHNET-0cmw,MathNet,Russian mathematical olympiad,,Russia,Discrete Mathematics,Combinatorics | Graph Theory,,unknown,"Coloring schemes, extremal arguments",,,,True,,,,proof only,English; Russian,real,"In a country, some pairs of cities are connected by the roads, which do not intersect outside the cities. At each city, there is a sign showing the least length of the route beginning at this city and passing through all other cities (a route can pass through some cities several times; it should not necessarily return to the original city). Prove that the ratio of any two numbers on the signs does not exceed $3/2$. (M. Murashkin)",,774,129,2,21,0,0,0,0,2
MATHNET-0j0k,MathNet,13th Annual Harvard-MIT Mathematics Tournament,,United States,Discrete Mathematics,Combinatorics | Graph Theory,,unknown,Counting two ways,,,,True,,,,proof and answer,,real,"Problem:

In the country of Francisca, there are $2010$ cities, some of which are connected by roads. Between any two cities, there is a unique path which runs along the roads and which does not pass through any city twice. What is the maximum possible number of cities in Francisca which have at least $3$ roads running out of them?",1004,507,89,6,11,1,1,0,1,6
MATHNET-0c1k,MathNet,69th Romanian Mathematical Olympiad,,Romania,Number Theory,Divisibility / Factorization | Modular Arithmetic,,unknown,,,,,True,,,,proof and answer,,real,"Find all the positive integers $\overline{abcd}$ knowing that the following conditions hold:
a) $a^2 + b^2 + c^2 + d^2$ is divisible by $4$;
b) the remainder of $\overline{abcd}$ when divided by $c$ is $7$.","All four-digit numbers with c = 9, and a, b, d ∈ {1,3,5,7,9}, such that a + b + d ≡ 7 (mod 9). There are no solutions with c = 8.",0,0,0,0,0,0,0,0,0
MATHNET-0l20,MathNet,HMMT November 2024,,United States,Discrete Mathematics,Combinatorics,,unknown,Enumeration with symmetry | Inclusion-exclusion,,,,False,,,,final answer only,,real,"Problem:

Compute the number of ways to shade exactly 4 distinct cells of a $4 \times 4$ grid such that no two shaded cells share one or more vertices.",79,1740,328,8,42,6,3,3,0,8
MATHNET-000t,MathNet,XIX Olimpíada Matemática Argentina,,Argentina,Algebra,Prealgebra / Basic Algebra,,unknown,Integers,,,,True,,,,proof and answer,español,real,"En cada casilla del tablero de $4 \times 4$ debe haber un número natural de $1$ a $16$ inclusive, sin repetir, de modo que la suma de los cuatro números de cada una de las cuatro filas, la suma de los cuatro números de cada una de las cuatro columnas y la suma de los cuatro números de cada una de las dos diagonales sean diez números enteros consecutivos, en algún orden. Ya se han escrito nueve de los números. Escribir los siete números que faltan.

| 4  | 5  | 7  |    |
|----|----|----|----|
| 6  |    | 3  |    |
| 11 | 12 | 9  |    |
| 10 |    |    |    |","Completed grid:
4  5  7  14
6  13 3  15
11 12 9  1
10 2  16 8",0,0,0,0,0,0,0,0,0
MATHNET-0jdx,MathNet,HMMT November 2013,,United States,Algebra | Number Theory,Diophantine Equations | Divisibility / Factorization | Prealgebra / Basic Algebra,,unknown,"Techniques: modulo, size analysis, order analysis, inequalities | Factorization techniques | Integers",,,,True,,,,proof and answer,,real,"Problem:

Find all triples of positive integers $(x, y, z)$ such that $x^{2} + y - z = 100$ and $x + y^{2} - z = 124$.","(12, 13, 57)",384,103,3,12,0,0,0,0,3
MATHNET-0j4z,MathNet,Harvard-MIT Mathematics Tournament,,United States,Geometry,Plane Geometry,,unknown,"Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Triangles > Triangle trigonometry | Circles > Tangents | Geometric Inequalities > Optimization in geometry | Miscellaneous > Angle chasing",,,,True,,,,proof and answer,,real,"Problem:

Let $ABCD$ be a cyclic quadrilateral, and suppose that $BC = CD = 2$. Let $I$ be the incenter of triangle $ABD$. If $AI = 2$ as well, find the minimum value of the length of diagonal $BD$.",2√3,1172,196,5,28,3,0,0,0,5
MATHNET-0iy8,MathNet,12th Annual Harvard-MIT Mathematics Tournament,,United States,Number Theory,Divisibility / Factorization | Number-Theoretic Functions,,unknown,Factorization techniques | τ (number of divisors),,,,False,,,,final answer only,,real,"Problem:

How many perfect squares divide $2^{3} \cdot 3^{5} \cdot 5^{7} \cdot 7^{9}$?",120,175,32,2,1,0,0,0,0,2
MATHNET-05zy,MathNet,PRÉPARATION OLYMPIQUE FRANÇAISE DE MATHÉMATIQUES,,France,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,,unknown,"Geometric Inequalities > Optimization in geometry | Miscellaneous > Distance chasing | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"Problem:

On considère un $2022$-gone régulier de côté $1$. Les points sont numérotés $A_{1}, \ldots, A_{2022}$ dans un certain ordre. Au départ, Elie part du point $A_{1}$, puis saute de point en point vers le point $A_{2}$, puis de $A_{2}$ vers $A_{3}$ etc... chaque fois en prenant l'arc le plus court. Lorsqu'il atteint $A_{2022}$, il rejoint finalement $A_{1}$. Déterminer la valeur maximale de la somme des longueurs des arcs qu'a parcouru Elie, parmi toutes les numérotations de points possibles.",2042222,3765,416,11,54,0,0,0,0,11
MATHNET-01db,MathNet,Baltic Way 2016,,Baltic Way,Geometry,Plane Geometry,,unknown,Circles > Radical axis theorem | Transformations > Rotation | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing | Miscellaneous > Distance chasing,,,,True,,,,proof only,,real,"Let $M$ and $N$ be the midpoints of the sides $AC$ and $AB$, respectively, of an acute triangle $ABC$. Let $\omega_B$ be the circle centered at $M$ passing through $B$, and let $\omega_C$ be the circle centered at $N$ passing through $C$. Let the point $D$ be such that $ABCD$ is an isosceles trapezoid with $AD$ parallel to $BC$. Assume that $\omega_B$ and $\omega_C$ intersect in two distinct points $P$ and $Q$. Show that $D$ lies on $PQ$.",,1875,334,2,76,3,0,0,0,2
MATHNET-0lbg,MathNet,Kì thi chọn học sinh vào Đội tuyển Quốc gia Dự thi IMO,,Vietnam,Algebra | Discrete Mathematics | Number Theory,Algebraic Expressions | Combinatorics | Modular Arithmetic,,unknown,"Inverses mod n | Coloring schemes, extremal arguments | Sequences and Series > Floors and ceilings",,,,True,,,,proof and answer,Vietnamese,real,"Cho trước một số nguyên tố $p$ không nhỏ hơn $17$. Chứng minh rằng $t=3$ là số nguyên dương lớn nhất có tính chất: Với mọi bộ số nguyên $a, b, c, d$ sao cho $abc$ không chia hết cho $p$, nhưng $a+b+c$ chia hết cho $p$ thì luôn tồn tại $x, y, z \in \{0, 1, ..., \lfloor \frac{p}{t} \rfloor - 1\}$ để $ax+by+cz+d$ chia hết cho $p$. ($\lfloor \frac{p}{t} \rfloor$ kí hiệu số nguyên lớn nhất không vượt quá $\frac{p}{t}$).",3,0,0,0,0,0,0,0,0,0
MATHNET-02ca,MathNet,Desafios,,Brazil,Discrete Mathematics,Combinatorics,,unknown,Counting two ways | Invariants / monovariants,,,,True,,,,proof and answer,,real,"Problem:

Cinco bolas iguais estão se movendo na mesma direção ao longo de uma reta fixa, mantendo uma certa distância de uma para outra. Na mesma direção, mas no sentido oposto, outras cinco bolas se movem de encontro às primeiras. As velocidades de todas as bolas são iguais. Quando duas bolas colidem, voltam na mesma velocidade de antes, ao longo da mesma direção. Quantas colisões entre bolas vão ocorrer?",25,623,108,2,1,0,0,0,0,2
MATHNET-0kpf,MathNet,Berkeley Math Circle: Monthly Contest 5,,United States,Discrete Mathematics,Combinatorics,,unknown,Invariants / monovariants,,,,True,,,,proof and answer,,real,"Problem:

Aerith has 5 coins, all with heads facing up. She wants to flip them so that they all have tails facing up.

a) If she must flip exactly three coins at a time (from heads to tails or vice versa), is this possible?

b) What if she must flip exactly two coins at a time?

For each part, either show a way it can be done or prove that it is impossible.",a) Possible. b) Impossible.,392,67,3,1,1,0,0,0,3
MATHNET-05qn,MathNet,Préparation Olympique Française de Mathématiques,,France,Discrete Mathematics | Number Theory,Combinatorics | Modular Arithmetic | Residues and Primitive Roots,,unknown,Chinese remainder theorem | Fermat / Euler / Wilson theorems | Primitive roots mod p / p^n | Multiplicative order | Quadratic residues | Quadratic reciprocity | Pigeonhole principle,,,,True,,,,proof only,,real,"Problem:

On dit qu'un entier $k$ est olympique s'il existe quatre entiers $a, b, c$ et $d$, tous premiers avec $k$, tels que $k$ divise $a^{4}+b^{4}+c^{4}+d^{4}$. Soit $n$ un entier quelconque.

Montrer que $n^{2}-2$ est olympique.",,4068,648,14,92,0,0,0,0,14
