problem_id,similar_problem_id,similarity_score
MATHNET-09vi,MATHNET-09q7 | MATHNET-0fjo | MATHNET-0g28 | MATHNET-05m2 | MATHNET-05tc | MATHNET-05zn | MATHNET-0g0d | MATHNET-0h3f | MATHNET-0cr9 | MATHNET-05g5,0.9493 | 0.8902 | 0.8620 | 0.8605 | 0.8585 | 0.8584 | 0.8539 | 0.8521 | 0.8423 | 0.8417
MATHNET-09vr,MATHNET-0bo4 | MATHNET-09ad | MATHNET-071o | MATHNET-07du | MATHNET-07cj | MATHNET-0e06 | MATHNET-074g | MATHNET-03bp | MATHNET-07n6 | MATHNET-0kw5,0.8300 | 0.7774 | 0.7735 | 0.7547 | 0.7529 | 0.7516 | 0.7408 | 0.7401 | 0.7330 | 0.7311
MATHNET-09wj,MATHNET-0jpj | MATHNET-0amu | MATHNET-0kqf | MATHNET-0iy8 | MATHNET-09i8 | MATHNET-0cx2 | MATHNET-04bo | MATHNET-0apd | MATHNET-0axe | MATHNET-0eao,0.8863 | 0.8352 | 0.8352 | 0.8310 | 0.8298 | 0.8298 | 0.8181 | 0.8121 | 0.8103 | 0.7991
MATHNET-09xc,MATHNET-0d9u | MATHNET-07x2 | MATHNET-04qz | MATHNET-09xk | MATHNET-0jog | MATHNET-00vm | MATHNET-0hs4 | MATHNET-00rl | MATHNET-0iat | MATHNET-01zv,0.8505 | 0.8488 | 0.8239 | 0.8208 | 0.8048 | 0.8030 | 0.8018 | 0.7936 | 0.7910 | 0.7902
MATHNET-09xk,MATHNET-09xc | MATHNET-07x2 | MATHNET-0dst | MATHNET-04qz | MATHNET-07c0 | MATHNET-01b9 | MATHNET-00rl | MATHNET-0c1d | MATHNET-0iat | MATHNET-0930,0.8208 | 0.8121 | 0.7967 | 0.7912 | 0.7854 | 0.7761 | 0.7744 | 0.7708 | 0.7707 | 0.7679
MATHNET-09z8,MATHNET-0aj5 | MATHNET-03w7 | MATHNET-0ij0 | MATHNET-09af | MATHNET-0cc6 | MATHNET-08n2 | MATHNET-00k4 | MATHNET-01el | MATHNET-0law | MATHNET-0925,0.9131 | 0.8590 | 0.8349 | 0.8154 | 0.8116 | 0.8021 | 0.7848 | 0.7784 | 0.7775 | 0.7758
MATHNET-09zj,MATHNET-0khx | MATHNET-0847 | MATHNET-0kjw | MATHNET-0alb | MATHNET-0anv | MATHNET-0kn4 | MATHNET-02cu | MATHNET-02c0 | MATHNET-0epr | MATHNET-0amu,1.0000 | 0.9737 | 0.9487 | 0.9024 | 0.8409 | 0.8409 | 0.8409 | 0.8409 | 0.7781 | 0.7540
MATHNET-0a2l,MATHNET-0jtz | MATHNET-00ac | MATHNET-07mb | MATHNET-0akb | MATHNET-06dp | MATHNET-04aq | MATHNET-08pg | MATHNET-02eg | MATHNET-0ijk | MATHNET-02h7,0.8141 | 0.8039 | 0.7976 | 0.7972 | 0.7897 | 0.7811 | 0.7803 | 0.7784 | 0.7677 | 0.7665
MATHNET-0a32,MATHNET-04st | MATHNET-0ar9 | MATHNET-0490 | MATHNET-0lad | MATHNET-0br0 | MATHNET-04ch | MATHNET-0au5 | MATHNET-0gm2 | MATHNET-000t | MATHNET-0anq,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0a4k,MATHNET-00mi | MATHNET-0gn8 | MATHNET-0hhz | MATHNET-0ibu | MATHNET-0krr | MATHNET-0528 | MATHNET-0b1m | MATHNET-0jzx | MATHNET-06mm | MATHNET-0l0n,0.9041 | 0.8740 | 0.8729 | 0.8621 | 0.8556 | 0.8492 | 0.8288 | 0.8285 | 0.8276 | 0.8260
MATHNET-0a4r,MATHNET-0752 | MATHNET-0jnd | MATHNET-0h1p | MATHNET-08pg | MATHNET-0ldf | MATHNET-01u3 | MATHNET-01n3 | MATHNET-07dr | MATHNET-0hs4 | MATHNET-0759,0.7945 | 0.7847 | 0.7772 | 0.7590 | 0.7430 | 0.7417 | 0.7396 | 0.7380 | 0.7359 | 0.7262
MATHNET-0a4y,MATHNET-0aw2 | MATHNET-0apw | MATHNET-0jht | MATHNET-0kq5 | MATHNET-0em4 | MATHNET-08x7 | MATHNET-0ia7 | MATHNET-0b1j | MATHNET-0ecu | MATHNET-0j2y,0.7566 | 0.7498 | 0.7072 | 0.6891 | 0.6871 | 0.6845 | 0.6811 | 0.6808 | 0.6783 | 0.6769
MATHNET-0a53,MATHNET-00by | MATHNET-0a9f | MATHNET-0d1o | MATHNET-04e7 | MATHNET-0avj | MATHNET-06x6 | MATHNET-06nq | MATHNET-08o1 | MATHNET-0k4h | MATHNET-0au7,0.8166 | 0.8137 | 0.8105 | 0.8043 | 0.7920 | 0.7902 | 0.7881 | 0.7846 | 0.7845 | 0.7732
MATHNET-0a5l,MATHNET-03bq | MATHNET-0ena | MATHNET-03f4 | MATHNET-058t | MATHNET-04a8 | MATHNET-0bmx | MATHNET-0d5z | MATHNET-08y6 | MATHNET-03bc | MATHNET-0est,0.8412 | 0.8407 | 0.8228 | 0.8214 | 0.8162 | 0.8146 | 0.8067 | 0.8038 | 0.8034 | 0.8017
MATHNET-0a6c,MATHNET-0710 | MATHNET-00ny | MATHNET-056b | MATHNET-08pi | MATHNET-0ax4 | MATHNET-0212 | MATHNET-03e9 | MATHNET-0bth | MATHNET-04ru | MATHNET-0lf7,0.8479 | 0.8102 | 0.7976 | 0.7946 | 0.7940 | 0.7835 | 0.7754 | 0.7690 | 0.7689 | 0.7651
MATHNET-0a7h,MATHNET-0eak | MATHNET-06i3 | MATHNET-0lbc | MATHNET-0e73 | MATHNET-0500 | MATHNET-072g | MATHNET-00va | MATHNET-06dp | MATHNET-017j | MATHNET-0gqz,0.7941 | 0.7573 | 0.7414 | 0.7402 | 0.7359 | 0.7341 | 0.7336 | 0.7333 | 0.7300 | 0.7235
MATHNET-0a7l,MATHNET-0dk0 | MATHNET-0l8o | MATHNET-0aho | MATHNET-0kfj | MATHNET-03bq | MATHNET-01u9 | MATHNET-0k65 | MATHNET-01uc | MATHNET-0bnh | MATHNET-03bc,0.8217 | 0.8181 | 0.8044 | 0.7983 | 0.7972 | 0.7925 | 0.7870 | 0.7849 | 0.7692 | 0.7632
MATHNET-0a7r,MATHNET-03x3 | MATHNET-023c | MATHNET-0kd5 | MATHNET-01rg | MATHNET-0d6i | MATHNET-0adi | MATHNET-09pd | MATHNET-0bmd | MATHNET-0jp5 | MATHNET-08rj,0.8374 | 0.8283 | 0.8158 | 0.8153 | 0.8087 | 0.7988 | 0.7981 | 0.7911 | 0.7779 | 0.7776
MATHNET-0a95,MATHNET-00ug | MATHNET-032t | MATHNET-07n4 | MATHNET-037b | MATHNET-03us | MATHNET-038o | MATHNET-078n | MATHNET-007d | MATHNET-0htx | MATHNET-0h2a,0.8436 | 0.8236 | 0.8132 | 0.7934 | 0.7927 | 0.7763 | 0.7741 | 0.7719 | 0.7693 | 0.7570
MATHNET-0a9f,MATHNET-0avj | MATHNET-06h1 | MATHNET-08o1 | MATHNET-0j4z | MATHNET-00by | MATHNET-06nq | MATHNET-065e | MATHNET-0agx | MATHNET-0bq8 | MATHNET-0bwb,0.8697 | 0.8637 | 0.8575 | 0.8439 | 0.8385 | 0.8379 | 0.8307 | 0.8289 | 0.8209 | 0.8151
MATHNET-0aae,MATHNET-06nl | MATHNET-017c | MATHNET-06i3 | MATHNET-0d0r | MATHNET-0bx8 | MATHNET-0jye | MATHNET-01kt | MATHNET-0j3m | MATHNET-02gm | MATHNET-0i5w,0.8813 | 0.7827 | 0.7771 | 0.7717 | 0.7637 | 0.7607 | 0.7577 | 0.7547 | 0.7545 | 0.7522
MATHNET-0ab4,MATHNET-0jxx | MATHNET-0iy8 | MATHNET-0axe | MATHNET-0apd | MATHNET-0gii | MATHNET-0i4x | MATHNET-0jpj | MATHNET-0iqa | MATHNET-084f | MATHNET-09wj,0.9590 | 0.8794 | 0.8452 | 0.8387 | 0.8364 | 0.8124 | 0.8115 | 0.7949 | 0.7941 | 0.7814
MATHNET-0acd,MATHNET-0hz2 | MATHNET-06mm | MATHNET-0ka4 | MATHNET-0k97 | MATHNET-0ko4 | MATHNET-0jqw | MATHNET-0j8y | MATHNET-0joq | MATHNET-07r9 | MATHNET-0jzx,0.9037 | 0.8896 | 0.8847 | 0.8752 | 0.8690 | 0.8591 | 0.8528 | 0.8476 | 0.8451 | 0.8435
MATHNET-0acz,MATHNET-03wz | MATHNET-0cg1 | MATHNET-09mt | MATHNET-072g | MATHNET-00et | MATHNET-07rd | MATHNET-0gqz | MATHNET-0e73 | MATHNET-08pm | MATHNET-0lbc,0.7746 | 0.7663 | 0.7504 | 0.7488 | 0.7463 | 0.7430 | 0.7421 | 0.7366 | 0.7286 | 0.7247
MATHNET-0adb,MATHNET-02f2 | MATHNET-0h27 | MATHNET-00kp | MATHNET-0jw5 | MATHNET-0ikl | MATHNET-0gtj | MATHNET-0fev | MATHNET-0fk4 | MATHNET-0dw6 | MATHNET-0ii2,0.9520 | 0.9326 | 0.9056 | 0.8951 | 0.8896 | 0.8848 | 0.8701 | 0.8535 | 0.8424 | 0.8375
MATHNET-0adi,MATHNET-0bmd | MATHNET-0j4z | MATHNET-03x3 | MATHNET-0b2w | MATHNET-0azg | MATHNET-01rg | MATHNET-0652 | MATHNET-0d6i | MATHNET-0bwb | MATHNET-023c,0.8847 | 0.8285 | 0.8272 | 0.8252 | 0.8156 | 0.8153 | 0.8151 | 0.8101 | 0.8039 | 0.8019
MATHNET-0ads,MATHNET-067b | MATHNET-0bml | MATHNET-0fyx | MATHNET-028y | MATHNET-0fj3 | MATHNET-0apq | MATHNET-05ia | MATHNET-05i6 | MATHNET-0ft3 | MATHNET-09cc,0.9756 | 0.9462 | 0.9180 | 0.8884 | 0.8825 | 0.8761 | 0.8439 | 0.8390 | 0.8381 | 0.8373
MATHNET-0afj,MATHNET-0iy8 | MATHNET-0i4x | MATHNET-084f | MATHNET-0kbi | MATHNET-0iqa | MATHNET-0ab4 | MATHNET-0jxx | MATHNET-0jpj | MATHNET-02kg | MATHNET-09wj,0.7944 | 0.7902 | 0.7833 | 0.7596 | 0.7582 | 0.7578 | 0.7554 | 0.7290 | 0.7188 | 0.7167
MATHNET-0ag7,MATHNET-0609 | MATHNET-0dqf | MATHNET-0413 | MATHNET-0huv | MATHNET-0idn | MATHNET-0b84 | MATHNET-0jxp | MATHNET-0ihr | MATHNET-0f9k | MATHNET-05u0,0.8316 | 0.8124 | 0.7841 | 0.7758 | 0.7080 | 0.7077 | 0.7026 | 0.7006 | 0.6854 | 0.6839
MATHNET-0ag8,MATHNET-04p0 | MATHNET-0d0r | MATHNET-09jx | MATHNET-07l2 | MATHNET-07rd | MATHNET-08im | MATHNET-017j | MATHNET-0cey | MATHNET-0103 | MATHNET-03wz,0.7611 | 0.7513 | 0.7463 | 0.7369 | 0.7176 | 0.7087 | 0.7058 | 0.6987 | 0.6963 | 0.6953
MATHNET-0agp,MATHNET-07gg | MATHNET-0ilv | MATHNET-048d | MATHNET-00qi | MATHNET-0c8t | MATHNET-034j | MATHNET-0cus | MATHNET-014r | MATHNET-00g4 | MATHNET-0kto,0.7643 | 0.7573 | 0.7473 | 0.6794 | 0.6793 | 0.6680 | 0.6552 | 0.6432 | 0.6337 | 0.6320
MATHNET-0agx,MATHNET-0j4z | MATHNET-0k4h | MATHNET-0d1o | MATHNET-0a9f | MATHNET-00by | MATHNET-06h1 | MATHNET-065e | MATHNET-0l1k | MATHNET-0avj | MATHNET-01qk,0.8456 | 0.8393 | 0.8300 | 0.8289 | 0.8238 | 0.8179 | 0.8113 | 0.7923 | 0.7923 | 0.7834
MATHNET-0aho,MATHNET-01uc | MATHNET-0dk0 | MATHNET-0l8o | MATHNET-03xa | MATHNET-0a7l | MATHNET-0kfj | MATHNET-058t | MATHNET-0k65 | MATHNET-0dbf | MATHNET-01u9,0.8574 | 0.8208 | 0.8199 | 0.8193 | 0.8044 | 0.7959 | 0.7929 | 0.7808 | 0.7771 | 0.7769
MATHNET-0ai8,MATHNET-00ul | MATHNET-03wz | MATHNET-08pm | MATHNET-01f7 | MATHNET-01dv | MATHNET-08wo | MATHNET-0397 | MATHNET-072g | MATHNET-07rd | MATHNET-07k2,0.8211 | 0.7847 | 0.7811 | 0.7780 | 0.7718 | 0.7648 | 0.7646 | 0.7627 | 0.7617 | 0.7609
MATHNET-0aj0,MATHNET-0413 | MATHNET-0huv | MATHNET-07yr | MATHNET-07ko | MATHNET-05u0 | MATHNET-0609 | MATHNET-041i | MATHNET-035k | MATHNET-0ksl | MATHNET-0ag7,0.7636 | 0.7010 | 0.6954 | 0.6815 | 0.6774 | 0.6773 | 0.6653 | 0.6590 | 0.6555 | 0.6421
MATHNET-0aj5,MATHNET-09z8 | MATHNET-03w7 | MATHNET-08n2 | MATHNET-09af | MATHNET-0ij0 | MATHNET-0cc6 | MATHNET-01db | MATHNET-0dyh | MATHNET-0dpx | MATHNET-0etj,0.9131 | 0.8479 | 0.8250 | 0.8203 | 0.8165 | 0.8105 | 0.8067 | 0.7728 | 0.7724 | 0.7679
MATHNET-0akb,MATHNET-0ijk | MATHNET-02eg | MATHNET-0jtz | MATHNET-0a2l | MATHNET-0dst | MATHNET-07dr | MATHNET-07mb | MATHNET-020t | MATHNET-06dp | MATHNET-049z,0.8288 | 0.8225 | 0.8205 | 0.7972 | 0.7967 | 0.7916 | 0.7855 | 0.7834 | 0.7824 | 0.7793
MATHNET-0akk,MATHNET-017x | MATHNET-07nh | MATHNET-0cu8 | MATHNET-03yl | MATHNET-01ug | MATHNET-0ck8 | MATHNET-00fc | MATHNET-09ad | MATHNET-0bis | MATHNET-0bd7,0.8309 | 0.8081 | 0.8010 | 0.7792 | 0.7770 | 0.7628 | 0.7507 | 0.7491 | 0.7440 | 0.7437
MATHNET-0akr,MATHNET-0217 | MATHNET-0455 | MATHNET-05dk | MATHNET-0glc | MATHNET-06pl | MATHNET-0kfw | MATHNET-0906 | MATHNET-0bow | MATHNET-04u6 | MATHNET-04t3,0.9079 | 0.9038 | 0.8816 | 0.8775 | 0.8667 | 0.8630 | 0.8540 | 0.8078 | 0.8050 | 0.7924
MATHNET-0alb,MATHNET-0kjw | MATHNET-02c0 | MATHNET-02cu | MATHNET-0kn4 | MATHNET-0anv | MATHNET-0847 | MATHNET-0khx | MATHNET-09zj | MATHNET-0epr | MATHNET-0kqf,0.9487 | 0.9250 | 0.9250 | 0.9250 | 0.9250 | 0.9250 | 0.9024 | 0.9024 | 0.7776 | 0.7645
MATHNET-0alz,MATHNET-04st | MATHNET-04ch | MATHNET-0a32 | MATHNET-0ar9 | MATHNET-0au5 | MATHNET-000t | MATHNET-09u9 | MATHNET-0anq | MATHNET-0br0 | MATHNET-0lad,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0am0,MATHNET-0b9w | MATHNET-09u9 | MATHNET-0gm2 | MATHNET-0ar9 | MATHNET-0br0 | MATHNET-0lad | MATHNET-0anq | MATHNET-0au5 | MATHNET-0a32 | MATHNET-04ch,1.0000 | 0.7872 | 0.7872 | 0.7872 | 0.7872 | 0.7872 | 0.7872 | 0.7872 | 0.7872 | 0.7872
MATHNET-0am1,MATHNET-0l68 | MATHNET-0kje | MATHNET-0jfs | MATHNET-042z | MATHNET-0kz9 | MATHNET-0k4h | MATHNET-0l1k | MATHNET-00by | MATHNET-0agx | MATHNET-04e7,0.6788 | 0.6389 | 0.6160 | 0.6076 | 0.6050 | 0.6039 | 0.5943 | 0.5923 | 0.5919 | 0.5838
MATHNET-0amu,MATHNET-0kqf | MATHNET-09i8 | MATHNET-0cx2 | MATHNET-04bo | MATHNET-0e84 | MATHNET-0e8i | MATHNET-0eao | MATHNET-09wj | MATHNET-0jpj | MATHNET-0axe,1.0000 | 0.9867 | 0.9867 | 0.9610 | 0.9250 | 0.9250 | 0.9250 | 0.8352 | 0.8093 | 0.8062
MATHNET-0anq,MATHNET-04st | MATHNET-0ar9 | MATHNET-0490 | MATHNET-0br0 | MATHNET-04ch | MATHNET-0au5 | MATHNET-0a32 | MATHNET-0gm2 | MATHNET-0cy4 | MATHNET-0lad,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0anv,MATHNET-02c0 | MATHNET-02cu | MATHNET-0kn4 | MATHNET-0alb | MATHNET-0kjw | MATHNET-0847 | MATHNET-0khx | MATHNET-09zj | MATHNET-0eao | MATHNET-0e8i,1.0000 | 1.0000 | 1.0000 | 0.9250 | 0.8809 | 0.8604 | 0.8409 | 0.8409 | 0.7645 | 0.7645
MATHNET-0apd,MATHNET-0axe | MATHNET-0gii | MATHNET-0jpj | MATHNET-0jxx | MATHNET-0ab4 | MATHNET-09wj | MATHNET-0iy8 | MATHNET-0eao | MATHNET-0e84 | MATHNET-0e8i,0.9315 | 0.9135 | 0.8801 | 0.8392 | 0.8387 | 0.8121 | 0.8082 | 0.8051 | 0.8051 | 0.8051
MATHNET-0apq,MATHNET-028y | MATHNET-0ft3 | MATHNET-0bml | MATHNET-0ads | MATHNET-067b | MATHNET-0fev | MATHNET-01os | MATHNET-02uo | MATHNET-05i6 | MATHNET-0fyx,0.9412 | 0.9345 | 0.9066 | 0.8761 | 0.8731 | 0.8683 | 0.8563 | 0.8346 | 0.8334 | 0.8302
MATHNET-0apw,MATHNET-0aw2 | MATHNET-0kq5 | MATHNET-0axv | MATHNET-08x7 | MATHNET-0ia7 | MATHNET-0i5e | MATHNET-0jht | MATHNET-0em4 | MATHNET-0jsa | MATHNET-0kqz,0.8655 | 0.8281 | 0.7942 | 0.7903 | 0.7757 | 0.7730 | 0.7707 | 0.7671 | 0.7651 | 0.7645
MATHNET-0ar9,MATHNET-04st | MATHNET-0a32 | MATHNET-0au5 | MATHNET-04ch | MATHNET-0anq | MATHNET-0490 | MATHNET-09u9 | MATHNET-0lad | MATHNET-0br0 | MATHNET-0gm2,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0atn,MATHNET-0041 | MATHNET-004m | MATHNET-08ic | MATHNET-0c9x | MATHNET-049x | MATHNET-00cj | MATHNET-008t | MATHNET-0c4k | MATHNET-04dz | MATHNET-0bqa,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0atv,MATHNET-04st | MATHNET-04ch | MATHNET-0a32 | MATHNET-0ar9 | MATHNET-0au5 | MATHNET-000t | MATHNET-09u9 | MATHNET-0anq | MATHNET-0br0 | MATHNET-0lad,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0au5,MATHNET-04st | MATHNET-0ar9 | MATHNET-0490 | MATHNET-0lad | MATHNET-0br0 | MATHNET-04ch | MATHNET-0a32 | MATHNET-0gm2 | MATHNET-000t | MATHNET-0anq,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0au7,MATHNET-0d1o | MATHNET-04e7 | MATHNET-06x6 | MATHNET-0dzm | MATHNET-0a53 | MATHNET-00f5 | MATHNET-0gle | MATHNET-03gy | MATHNET-03nj | MATHNET-0cnn,0.8229 | 0.8219 | 0.7793 | 0.7769 | 0.7732 | 0.7726 | 0.7707 | 0.7691 | 0.7510 | 0.7482
MATHNET-0aus,MATHNET-064u | MATHNET-07r9 | MATHNET-03di | MATHNET-0hog | MATHNET-0bn3 | MATHNET-0dts | MATHNET-00nu | MATHNET-0bot | MATHNET-0gyd | MATHNET-0kpx,0.9068 | 0.8478 | 0.8471 | 0.8337 | 0.8243 | 0.8202 | 0.8193 | 0.8084 | 0.8064 | 0.8057
MATHNET-0aut,MATHNET-04i0 | MATHNET-0bh8 | MATHNET-0l80 | MATHNET-0bq4 | MATHNET-0f7p | MATHNET-09hn | MATHNET-0ar9 | MATHNET-0c9x | MATHNET-0041 | MATHNET-0a32,1.0000 | 1.0000 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9610 | 0.9610 | 0.9610 | 0.9610
MATHNET-0avj,MATHNET-0a9f | MATHNET-0bq8 | MATHNET-065e | MATHNET-06h1 | MATHNET-00by | MATHNET-0j4z | MATHNET-06nq | MATHNET-08o1 | MATHNET-0hdo | MATHNET-0bwb,0.8697 | 0.8636 | 0.8558 | 0.8497 | 0.8313 | 0.8182 | 0.8114 | 0.8070 | 0.8026 | 0.8000
MATHNET-0aw2,MATHNET-0apw | MATHNET-0axv | MATHNET-0jjl | MATHNET-0kq5 | MATHNET-043v | MATHNET-0kt8 | MATHNET-0jsa | MATHNET-0i5e | MATHNET-0b1j | MATHNET-0j2y,0.8655 | 0.8333 | 0.8229 | 0.8188 | 0.8164 | 0.8049 | 0.8008 | 0.7985 | 0.7854 | 0.7815
MATHNET-0awa,MATHNET-0b1j | MATHNET-0j2y | MATHNET-0ia7 | MATHNET-0axv | MATHNET-043v | MATHNET-08x7 | MATHNET-0em4 | MATHNET-0jjl | MATHNET-0apw | MATHNET-0kqz,0.7864 | 0.7858 | 0.7777 | 0.7517 | 0.7509 | 0.7484 | 0.7228 | 0.7127 | 0.7028 | 0.7014
MATHNET-0ax4,MATHNET-056b | MATHNET-0dqz | MATHNET-04ru | MATHNET-0212 | MATHNET-0710 | MATHNET-00ny | MATHNET-0a6c | MATHNET-03e9 | MATHNET-07uh | MATHNET-0lf7,0.9643 | 0.8215 | 0.8174 | 0.8126 | 0.8091 | 0.8011 | 0.7940 | 0.7853 | 0.7823 | 0.7797
MATHNET-0axe,MATHNET-0gii | MATHNET-0apd | MATHNET-0jpj | MATHNET-0jxx | MATHNET-0ab4 | MATHNET-0e8i | MATHNET-0eao | MATHNET-0e84 | MATHNET-04bo | MATHNET-0iy8,0.9602 | 0.9315 | 0.8670 | 0.8474 | 0.8452 | 0.8151 | 0.8151 | 0.8151 | 0.8129 | 0.8112
MATHNET-0axv,MATHNET-043v | MATHNET-0jjl | MATHNET-0i5e | MATHNET-0kq5 | MATHNET-0b1j | MATHNET-0j2y | MATHNET-0aw2 | MATHNET-0jsa | MATHNET-0kt8 | MATHNET-0ia7,0.9324 | 0.9031 | 0.8590 | 0.8460 | 0.8457 | 0.8340 | 0.8333 | 0.8240 | 0.8223 | 0.8219
MATHNET-0ay0,MATHNET-0542 | MATHNET-039t | MATHNET-0iqf | MATHNET-0juf | MATHNET-0joq | MATHNET-0h8n | MATHNET-0l5j | MATHNET-0kpf | MATHNET-0hn5 | MATHNET-02n7,0.8798 | 0.8798 | 0.8778 | 0.8596 | 0.8513 | 0.8369 | 0.8323 | 0.8260 | 0.8170 | 0.8078
MATHNET-0az2,MATHNET-0gda | MATHNET-014t | MATHNET-0jdx | MATHNET-02xm | MATHNET-0g7r | MATHNET-0dw6 | MATHNET-0h3e | MATHNET-05j5 | MATHNET-02pg | MATHNET-02ca,0.9525 | 0.8857 | 0.8742 | 0.8741 | 0.8619 | 0.8349 | 0.8316 | 0.8259 | 0.8254 | 0.8152
MATHNET-0azg,MATHNET-007a | MATHNET-00md | MATHNET-03o9 | MATHNET-01rg | MATHNET-0adi | MATHNET-0inz | MATHNET-0est | MATHNET-08y6 | MATHNET-0bot | MATHNET-0bmd,0.8654 | 0.8311 | 0.8243 | 0.8162 | 0.8156 | 0.8149 | 0.8139 | 0.8066 | 0.8042 | 0.8032
MATHNET-0b09,MATHNET-0c1k | MATHNET-0djw | MATHNET-0698 | MATHNET-0c6i | MATHNET-0f6y | MATHNET-09jj | MATHNET-08id | MATHNET-009e | MATHNET-0lbg | MATHNET-01p2,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9737 | 0.9737 | 0.9737
MATHNET-0b1j,MATHNET-0j2y | MATHNET-0ia7 | MATHNET-0em4 | MATHNET-0axv | MATHNET-043v | MATHNET-08x7 | MATHNET-0jjl | MATHNET-0jht | MATHNET-0kq5 | MATHNET-0kt8,0.9468 | 0.9071 | 0.8619 | 0.8457 | 0.8401 | 0.8332 | 0.8269 | 0.8204 | 0.7908 | 0.7866
MATHNET-0b1l,MATHNET-05u0 | MATHNET-05ra | MATHNET-0dqf | MATHNET-035k | MATHNET-0f3f | MATHNET-0huv | MATHNET-01ud | MATHNET-0609 | MATHNET-0ag7 | MATHNET-00xp,0.7973 | 0.6718 | 0.6682 | 0.6501 | 0.6414 | 0.6384 | 0.6304 | 0.6228 | 0.6206 | 0.6200
MATHNET-0b1m,MATHNET-0e08 | MATHNET-0jzx | MATHNET-00mi | MATHNET-0ibu | MATHNET-0hhz | MATHNET-0gqo | MATHNET-07oo | MATHNET-0hvc | MATHNET-0d0s | MATHNET-0hz2,0.9318 | 0.8853 | 0.8719 | 0.8702 | 0.8666 | 0.8645 | 0.8583 | 0.8558 | 0.8530 | 0.8444
MATHNET-0b2t,MATHNET-078n | MATHNET-00fc | MATHNET-0j6t | MATHNET-07xw | MATHNET-0cww | MATHNET-0dla | MATHNET-0kw5 | MATHNET-0jh7 | MATHNET-00ug | MATHNET-0kf4,0.8403 | 0.8205 | 0.8016 | 0.7942 | 0.7940 | 0.7902 | 0.7834 | 0.7823 | 0.7730 | 0.7720
MATHNET-0b2w,MATHNET-0bmd | MATHNET-09pd | MATHNET-0cgq | MATHNET-0l1k | MATHNET-056g | MATHNET-0adi | MATHNET-023c | MATHNET-03x3 | MATHNET-0bxl | MATHNET-00md,0.8701 | 0.8492 | 0.8326 | 0.8322 | 0.8277 | 0.8252 | 0.8217 | 0.8026 | 0.7948 | 0.7915
MATHNET-0b2x,MATHNET-08wo | MATHNET-0d9u | MATHNET-07x2 | MATHNET-0hs4 | MATHNET-09xc | MATHNET-020b | MATHNET-0jog | MATHNET-0iat | MATHNET-0930 | MATHNET-01dv,0.8625 | 0.8413 | 0.7991 | 0.7970 | 0.7785 | 0.7771 | 0.7756 | 0.7739 | 0.7728 | 0.7547
MATHNET-0b48,MATHNET-02ex | MATHNET-0jye | MATHNET-0j5i | MATHNET-0huk | MATHNET-0bx8 | MATHNET-02gm | MATHNET-0le9 | MATHNET-02ff | MATHNET-01bf | MATHNET-03nf,0.8404 | 0.8063 | 0.7952 | 0.7948 | 0.7883 | 0.7881 | 0.7702 | 0.7660 | 0.7583 | 0.7516
MATHNET-0b7n,MATHNET-07c0 | MATHNET-0i0w | MATHNET-07ad | MATHNET-06dp | MATHNET-03t6 | MATHNET-0ijk | MATHNET-0a2l | MATHNET-0ggp | MATHNET-07mb | MATHNET-0akb,0.8399 | 0.8049 | 0.8023 | 0.7958 | 0.7637 | 0.7575 | 0.7548 | 0.7527 | 0.7511 | 0.7489
MATHNET-0b7y,MATHNET-038o | MATHNET-00l0 | MATHNET-07n4 | MATHNET-04ra | MATHNET-08io | MATHNET-0blq | MATHNET-00yo | MATHNET-04yy | MATHNET-0htx | MATHNET-0e06,0.8308 | 0.8257 | 0.8181 | 0.8016 | 0.7940 | 0.7883 | 0.7775 | 0.7755 | 0.7705 | 0.7653
MATHNET-0b84,MATHNET-00xp | MATHNET-0hs2 | MATHNET-0jxp | MATHNET-07gp | MATHNET-06fc | MATHNET-08nc | MATHNET-0f9k | MATHNET-06j5 | MATHNET-0f3f | MATHNET-07w7,0.7854 | 0.7836 | 0.7823 | 0.7763 | 0.7730 | 0.7489 | 0.7388 | 0.7308 | 0.7283 | 0.7220
